name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Trail 895323571,895323571,Unknown,0.236,path,unknown,unknown,,36
Trail 998623226,998623226,Unknown,0.236,path,unknown,unknown,,17
Trail 1080336696,1080336696,Unknown,0.236,track,unknown,unknown,,25
Big Butt Summit Trail,1182369595,Unknown,0.236,path,unknown,unknown,,26
Trail 1272611361,1272611361,Unknown,0.236,footway,unpaved,unknown,,56
Trail 16626170,16626170,Jackson,0.235,track,unknown,unknown,,10
Art Loeb Trail,481036002,Unknown,0.235,path,ground,mountain_hiking,,23
Trail 493784060,493784060,Unknown,0.235,track,unknown,unknown,,25
Trail 524548720,524548720,Unknown,0.235,footway,asphalt,unknown,,17
Trail 1332924797,1332924797,Unknown,0.235,footway,unknown,unknown,,20
Trail 1354122457,1354122457,Unknown,0.235,track,unknown,unknown,,25
Trail 608378333,608378333,Unknown,0.234,path,unknown,unknown,,20
Cataoga Point,659992196,Unknown,0.234,track,unknown,unknown,,15
Wilkins Creek Road,842528608,Haywood,0.234,track,unknown,unknown,,15
Trail 895340274,895340274,Unknown,0.234,path,unknown,unknown,,62
Hickory Ridge Road,898111627,Unknown,0.234,track,unknown,grade3,FS 357,24
Trail 1081023185,1081023185,Unknown,0.234,path,ground,unknown,,20
Trail 1125908813,1125908813,Unknown,0.234,path,paved,unknown,,31
Trail 1196606277,1196606277,Unknown,0.234,track,unknown,unknown,,41
Trail 1299457291,1299457291,Unknown,0.234,footway,unknown,unknown,,17
Trail 1327936985,1327936985,Unknown,0.234,track,unknown,unknown,,27
Trail 16597449,16597449,Henderson,0.233,footway,unknown,unknown,,13
Small Creek Trail,114869519,Unknown,0.233,path,ground,hiking,FS 334,21
Trail 548789600,548789600,Unknown,0.233,path,unknown,unknown,,25
Lover's Leap Trail,655217696,Unknown,0.233,path,unknown,unknown,TR 308,18
Bearwallow Falls Trail,725732012,Unknown,0.233,path,fine_gravel,mountain_hiking,,107
House on a Hill Hiking Trail,841407681,Unknown,0.233,footway,ground,unknown,,92
Pilot Cove Road,902827013,Unknown,0.233,track,ground,grade4,FS 5014,21
Trail 1009713014,1009713014,Unknown,0.233,track,unknown,grade5,,22
Trail 1084346615,1084346615,Unknown,0.233,footway,unknown,unknown,,18
Trail 1103663004,1103663004,Unknown,0.233,footway,concrete,unknown,,30
South Toe River Road,1131993540,Yancey,0.233,track,unknown,grade1,,14
Trail 1286611687,1286611687,Unknown,0.233,footway,concrete,unknown,,14
