name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Old Settlers Trail,167433321,Unknown,15.476,path,ground,unknown,,704
Shut-In Trail,98261238,Unknown,13.329,footway,ground,mountain_hiking,TR 345,900
Sugarland Mountain Trail,167434364,Unknown,11.732,path,ground,unknown,,514
Mountains-to-Sea Trail,98261216,Unknown,9.436,path,ground,mountain_hiking,,566
South Mills River Road,152547221,Unknown,8.731,path,unpaved,grade4,TR 133,590
Cove Mountain Trail,167431878,Unknown,8.567,path,ground,unknown,,469
Jarrett Creek Road,492139569,Unknown,8.297,track,gravel,unknown,FS 4030,782
Trail 757743646,757743646,Unknown,8.293,track,unknown,grade4,FS 3580,807
Wayehutta Loop,1160894020,Unknown,8.162,track,ground,unknown,,1050
Blaze Creek Road,275548320,Unknown,7.844,track,unknown,grade4,FS 7064,585
Fletcher Creek Road,112927488,Unknown,7.758,track,gravel,unknown,,731
Lickstone Ridge Road,627923007,Unknown,7.638,track,gravel,grade2,,196
Appalachian Trail,359902628,Unknown,7.576,path,unknown,unknown,,581
Mountains-to-Sea Trail,425618401,Unknown,7.559,path,ground,mountain_hiking,,338
Squirrel Gap,481473985,Unknown,7.465,path,dirt,unknown,147,483
Goshen Prong Trail,167432194,Unknown,7.413,path,ground,unknown,,290
Maddron Bald Trail,167432621,Unknown,7.129,path,ground,unknown,,334
Laurel Gap Trail,114715946,Unknown,7.022,path,grass,grade3,TR 184,593
Fork Mountain Trail,114815734,Unknown,6.82,footway,ground,unknown,,338
Bull Head Trail,167431777,Unknown,6.221,path,ground,unknown,,290
Laurel Mountain,152407167,Unknown,6.202,path,ground,unknown,121,319
Shad Road,395476759,Unknown,6.201,track,unknown,grade4,FS 422,640
Weed Patch Mountain Trail,584740355,Unknown,6.115,footway,ground,unknown,,621
Mountains-to-Sea Trail,663589372,Unknown,6.095,path,ground,mountain_hiking,,458
Trail 199226508,199226508,Unknown,6.086,track,ground,grade2,,749
Baxter Creek Trail,167431666,Unknown,5.946,path,ground,unknown,,286
Rainbow Falls Trail,167433880,Unknown,5.791,path,ground,unknown,,975
Mountains-to-Sea Trail,218911669,Unknown,5.758,path,ground,mountain_hiking,,205
Joel Branch Road,267284141,Unknown,5.707,track,unknown,grade4,FS 5002,668
Big Ivy Road,112873756,Buncombe,5.692,track,unknown,grade1,FS 74,488
Big Butt Trail,114715942,Unknown,5.628,path,unknown,unknown,TR 161,453
Mountains-to-Sea Trail,691999479,Unknown,5.624,path,unknown,mountain_hiking,,377
Art Loeb Trail,267283621,Unknown,5.598,path,ground,unknown,,417
Neverending Road,467780745,Unknown,5.558,track,gravel,unknown,FS 5097,459
Gabes Mountain Trail,167432179,Unknown,5.515,path,ground,unknown,,326
Long Arm Road,766780016,Unknown,5.464,track,unknown,grade2,FS 287,390
Wash Creek Road,112927468,Unknown,5.439,track,unpaved,grade1,FS 5000,305
Big Tom Wilson Toll Road,199226503,Yancey,5.438,track,unknown,grade4,,316
Avery Creek Road,231342205,Transylvania,5.429,track,gravel,grade2,FS 477,498
South Ridge Road,114869553,Unknown,5.405,track,gravel,grade3,FS 479M,572
Fed Fork Road,19436846,Cocke,5.259,track,unknown,grade2,FS 96-1,320
475C,267283620,Unknown,5.16,track,unpaved,grade3,FS 475C,425
Boulevard Trail,167431761,Unknown,5.146,path,ground,unknown,,220
Black Mountain Crest Trail,802337075,Unknown,5.02,path,unknown,demanding_mountain_hiking,TR 179,259
Paint Mountain Road,19486212,Greene,5.019,track,unknown,grade2,FS 54,325
Yellow Gap Road,265512581,Henderson,5.014,track,gravel,grade1,NFD 1206,369
Trail 1160805295,1160805295,Unknown,5.014,track,ground,unknown,FS 4652,398
Little Cataloochee Trail,167432567,Unknown,5.009,path,ground,unknown,,216
Fork Ridge Trail,167432151,Unknown,4.97,path,ground,unknown,,234
Golden Ridge Trail,666361537,Unknown,4.927,path,ground,unknown,TR 294,566
Catpen Road,735359006,Unknown,4.915,track,unknown,grade4,FS 3505,520
Moses Creek Road–Mysterious Cabin Loop,1160864035,Unknown,4.9,footway,gravel,unknown,,592
Alum Cave Trail,288576403,Unknown,4.852,path,ground,unknown,,797
Flint Mountain Trail,19646370,Unicoi,4.803,path,ground,unknown,,326
Barkers Creek,275504426,Unknown,4.788,track,unknown,grade2,FS 7062,426
Polecat Holler Road,498602370,Unknown,4.75,track,unknown,grade2,FS 468,805
Big Fill Road,19430106,Cocke,4.738,track,unknown,grade4,FS 403,428
Bradley Creek Trail,112927501,Unknown,4.707,path,ground,unknown,351,354
Mountains-to-Sea Trail,114815664,Unknown,4.661,path,ground,mountain_hiking,,651
Moses Creek Road,1160875813,Unknown,4.659,footway,gravel,unknown,,619
Davis Bald Road,275551342,Unknown,4.643,track,unknown,grade3,FS 7057,377
Trail 669412043,669412043,Unknown,4.643,track,unknown,grade4,,357
Art Loeb Trail,453604210,Unknown,4.629,path,ground,unknown,,821
Paint Mountain Trail,611634257,Unknown,4.628,path,ground,unknown,TR 7,314
Thomas Divide Trail,167434380,Unknown,4.608,path,ground,unknown,,218
Trail 16589043,16589043,Haywood,4.581,track,unknown,unknown,,177
Jerry Miller Trail,693048981,Unknown,4.513,path,ground,unknown,TR 286,257
Slate Rock Creek Trail,112927486,Unknown,4.448,path,ground,unknown,320,449
Trail 16618931,16618931,Jackson,4.429,track,unknown,unknown,,140
Art Loeb Trail,902808469,Unknown,4.429,path,ground,unknown,,295
North Boundary Road,162931586,Unknown,4.396,track,gravel,grade2,FS 485,302
Blockstand Creek Trail,791154286,Unknown,4.391,path,unknown,unknown,,352
Halls Top Road,759296739,Cocke,4.189,track,unknown,grade2,FS 207A,260
Appalachian Trail,30673774,Unknown,4.135,path,ground,unknown,TR 1-08,816
Mysterious Cabin Loop,1160808884,Unknown,4.101,footway,ground,unknown,,351
Sugar Creek Gap,16623433,Jackson,4.043,track,unknown,unknown,,268
Appalachian Trail,237614144,Unknown,4.033,path,ground,unknown,,448
Boogerman Trail,167431748,Unknown,3.984,path,ground,unknown,,225
Appalachian Trail,237582438,Unknown,3.958,path,ground,unknown,,218
Mill Creek Road,758152542,Cocke,3.95,track,unknown,unknown,FS 110,239
Longarm Trail,1146832298,Unknown,3.944,path,unknown,unknown,TR 1901,340
Bradley Creek Road,135895813,Unknown,3.939,track,unknown,unknown,FS 5015,250
Snook's Nose,410475879,Unknown,3.908,path,unknown,unknown,,300
Shining Creek Trail,114815722,Unknown,3.903,path,ground,unknown,FS 363,273
Rattlesnake Road,736348109,Unknown,3.901,track,unknown,unknown,FS 3242,285
Laurel Ridge Road,659194924,Henderson,3.888,track,gravel,grade2,,297
Trail 734309868,734309868,Unknown,3.874,track,gravel,grade2,FS 3548,216
Wildcat Rock Trail,783516701,Unknown,3.862,path,unknown,unknown,,661
Heartbreak Ridge,278087888,Unknown,3.843,path,unknown,unknown,,269
Ramsey Cascades Trail,279159542,Unknown,3.82,path,ground,unknown,,357
Art Loeb Trail,166036050,Unknown,3.815,path,ground,unknown,,221
Trail 766775014,766775014,Haywood,3.815,track,unpaved,grade2,FS 289,202
Bear Farm Road,356392644,Buncombe,3.793,track,unknown,unknown,,276
Forney Ridge Trail,167432169,Unknown,3.782,path,ground,unknown,,201
Connelly Creek Road,16776453,Unknown,3.761,track,unknown,grade2,FS 86,425
Smokemont Loop Trail,167434271,Unknown,3.76,path,ground,unknown,,197
Sam Smith Loop,1113392611,Jackson,3.754,track,ground,unknown,BIA-433,381
Lickstone Ridge Road,16602137,Unknown,3.737,track,gravel,grade2,FS 97,547
Mountains-to-Sea Trail,98261208,Unknown,3.72,path,unknown,mountain_hiking,,213
Searcy Creek Road,152918956,Unknown,3.695,track,unknown,grade4,FS 5095,415
Granny Lewis Road,19639635,Unicoi,3.692,track,unknown,grade2,FS 189,174
Trail 267559573,267559573,Unknown,3.689,track,ground,grade4,FS 140B,296
Hawksbill Creek Road,279466222,Unknown,3.672,track,unknown,grade4,FS 63A,323
Colbert Ridge Trail,388053898,Unknown,3.64,path,unknown,demanding_mountain_hiking,TR 178,197
North Slope Trail,449217435,Unknown,3.626,path,ground,unknown,359,270
Funneltop Mountail Trail,152673006,Unknown,3.619,track,unpaved,grade4,FS 5018,247
Neal Barnett Road,16656816,Unknown,3.612,track,unpaved,grade4,FS 3514,365
Wolf Mountain Road,16630779,Unknown,3.607,track,ground,unknown,,247
Sweat Heifer Creek Trail,167434371,Unknown,3.595,path,ground,unknown,,191
Point Lookout Trail,180655303,McDowell,3.59,path,asphalt,grade1,,363
Art Loeb Trail,98441969,Unknown,3.573,path,ground,unknown,,255
Kitsuma/Youngs Ridge Trail,333032293,Unknown,3.556,path,ground,mountain_hiking,TR206,474
Long Bunk Trail,167432585,Unknown,3.538,path,ground,unknown,,184
Trail 766780015,766780015,Unknown,3.485,track,unknown,grade2,FS 288,284
Old Butt Knob Trail,114815601,Unknown,3.468,path,ground,unknown,FS 332,415
Deep Creek Trail,991009472,Unknown,3.464,path,ground,hiking,,421
Little River Trail,167432581,Unknown,3.457,path,ground,unknown,,92
Reasonover Creek Trail,162973171,Unknown,3.454,path,unknown,unknown,,324
Trail 1160805297,1160805297,Unknown,3.454,track,ground,unknown,FS 4653,229
Appalachian Trail,237582434,Unknown,3.438,path,ground,unknown,,252
Forney Creek Trail,167432155,Unknown,3.434,path,unknown,unknown,,156
Trail 897975460,897975460,Unknown,3.424,track,unknown,grade4,FS 3530,452
Big East Fork Trail,114815726,Unknown,3.417,path,ground,unknown,FS 357,181
Clawhammer Road,152732190,Unknown,3.412,track,unknown,grade2,FS 5058,335
Bent Creek Gap Road,266165583,Buncombe,3.38,track,unknown,grade1,FS 479,278
Mountains-to-Sea Trail,98261231,Unknown,3.365,path,ground,mountain_hiking,,428
Mountains-to-Sea Trail,18939906,Yancey,3.359,path,unknown,unknown,,318
Green Mountain Trail,616960232,Unknown,3.356,path,ground,mountain_hiking,,272
Indian Creek Road,277636235,Unknown,3.33,track,gravel,grade3,FS 5003,287
Horse Creek Road,653672166,Unknown,3.322,track,dirt,grade3,FS 94,199
Trail 1069949997,1069949997,Unknown,3.312,footway,gravel,unknown,,271
Right Loop,164856358,Unknown,3.29,path,ground,unknown,,415
Trail 398988948,398988948,Unknown,3.283,path,unknown,unknown,,245
Little Paint Creek Road,19482404,Greene,3.257,track,unknown,grade2,FS 31B,189
Upper Squirrel,734292801,Unknown,3.244,track,unknown,grade4,FS 3553,372
Appalachian Trail,30671408,Unknown,3.202,path,ground,unknown,TR 1-08,460
Rube Rock Trail,757703510,Unknown,3.192,path,unknown,unknown,TR 314,353
Roundtop Ridge Trail,655220025,Unknown,3.175,path,ground,unknown,TR 295,234
Mountains-to-Sea Trail,587054175,Unknown,3.169,path,ground,mountain_hiking,,419
Piney Branch Road,775421828,Unknown,3.162,track,unknown,grade4,FS 5141A,314
Appalachian Trail,30670574,Unknown,3.137,path,ground,unknown,TR 1-08,393
Bernard Mountain Trail,1180075913,Unknown,3.136,path,dirt,unknown,,659
Grapeyard Ridge Trail,167432201,Unknown,3.134,path,ground,unknown,,309
Mountains-to-Sea Trail,98261242,Unknown,3.129,path,ground,mountain_hiking,,182
Farlow Gap Trail,313769039,Unknown,3.104,path,ground,unknown,106,223
Trail 720544387,720544387,Unknown,3.101,track,unknown,unknown,FS 7019,254
Mill Ridge Trail,396039070,Unknown,3.097,track,unknown,grade4,TR 280,368
Stone Mountain Tower Road,19437506,Cocke,3.095,track,unknown,grade2,FS 207,147
Bug Branch Road,758011563,Cocke,3.075,track,unknown,grade4,FS 5141,181
Big Clifty Road,636158481,Unknown,3.067,track,gravel,grade2,FS 404,253
Trail 669412044,669412044,Unknown,3.038,track,unknown,unknown,,238
Trail 398100073,398100073,Unknown,3.021,path,unknown,unknown,,198
Wolf Creek Trail,736348101,Cocke,3.008,path,unknown,unknown,,155
Flat Laurel Creek Trail,860328531,Unknown,3.005,path,dirt,unknown,,298
Riverside,112927462,Unknown,3.002,path,ground,unknown,115,165
Seniard Mountain Road,152389513,Unknown,2.999,track,unknown,unknown,,241
Trail 16652250,16652250,Madison,2.994,track,unknown,grade4,FS 3535,211
Powerline Road,16620510,Jackson,2.975,track,unknown,grade3,TR 451,309
Brown Gap Road,648589972,Unknown,2.967,track,gravel,grade2,FS 2250,271
Mountains-to-Sea Trail,98261246,Unknown,2.958,path,ground,mountain_hiking,,260
South Mills River Road,815044047,Unknown,2.942,path,unpaved,grade4,TR 133,195
Trail 16781735,16781735,Transylvania,2.939,track,unknown,unknown,,160
Turkey Pen Gap Trail,112927428,Unknown,2.933,path,ground,unknown,322,170
Rocky Top Road,19437933,Cocke,2.924,track,unknown,grade2,FS 402,190
Trail 758152543,758152543,Unknown,2.923,path,unknown,unknown,,82
Old Mitchell Toll Road,16649033,McDowell,2.914,track,unknown,unknown,,405
Sycamore Cove,152918849,Unknown,2.911,path,ground,unknown,143,169
Trail 16623226,16623226,Jackson,2.908,track,unknown,unknown,FS 4646,76
Wolf Creek Road,686694960,Unknown,2.908,track,unknown,grade2,FS 96,212
Kagle Mountain Road,16780202,Transylvania,2.903,track,gravel,unknown,FS 5361,171
Rough Branch Road,19474796,Greene,2.857,track,unknown,grade4,FS 422A,194
High Knob Road,16623816,Jackson,2.851,track,unpaved,unknown,,348
Kanati Fork Trail,167432429,Unknown,2.846,path,ground,unknown,,165
Mingus Creek Trail,167432782,Unknown,2.845,path,ground,unknown,,155
Locust Thorn Ridge Road,757703508,Unknown,2.841,track,unknown,unknown,FS 225102,232
Laurel River Trail,395478543,Unknown,2.839,path,ground,unknown,TR 310,148
Demostration Trail,1126587894,Unknown,2.836,path,dirt,unknown,,226
Looking Glass Rock Trail,28206916,Unknown,2.835,footway,ground,unknown,114,313
Bennet Gap,152918909,Unknown,2.834,path,ground,unknown,138,196
Trail 655108520,655108520,Unknown,2.834,track,ground,grade4,FS 3512,186
Explorer Loop,114869544,Unknown,2.819,path,ground,hiking,FS 337,322
Buckeye Gap Trail,614072314,Unknown,2.814,path,ground,mountain_hiking,,248
Appalachian Trail,30673761,Unknown,2.791,path,ground,unknown,TR 1-08,399
Cantrell Creek,745933843,Unknown,2.783,path,dirt,unknown,,158
Big Tom Wilson Toll Road,1182665671,Yancey,2.779,track,unknown,grade4,,121
Trail 16590181,16590181,Haywood,2.769,footway,unknown,unknown,,132
Wilderness Trail,402290900,Unknown,2.763,track,unknown,grade3,,261
Trace Ridge,112927459,Unknown,2.747,path,ground,unknown,354,170
Cat Gap Loop Trail,267283650,Unknown,2.741,path,ground,unknown,120,153
Trail 723567939,723567939,Unknown,2.74,track,unknown,grade4,FS 3526,294
Northern Boundary Trail,1005899589,Unknown,2.735,footway,ground,unknown,,176
Mountains-to-Sea Trail,114715945,Unknown,2.732,path,unknown,mountain_hiking,,123
Canebrake Trail,283807342,Transylvania,2.725,path,ground,mountain_hiking,,821
Bluff Mountain Loop,738373672,Unknown,2.725,path,unknown,unknown,TR 298A,264
Rough Creek Trail,167434057,Unknown,2.719,path,ground,unknown,,246
Douglas Falls Trail,16435220,Unknown,2.708,path,ground,unknown,TR 162,243
Mountains-to-Sea Trail,958919833,Unknown,2.706,path,ground,mountain_hiking,,266
Appalachian Trail,359902629,Unknown,2.702,path,ground,unknown,,415
Rumbling Bald Ridgeline,879996631,Unknown,2.691,path,dirt,grade4,,88
Birchfield Camp Trail,655114548,Unknown,2.688,path,unknown,unknown,,158
Flat Creek Road,150212340,Unknown,2.685,track,unknown,unknown,FS 4662,298
Hogback Mountain Path,542987883,Unknown,2.68,path,unknown,unknown,,130
Kiesee Creek,277638034,Unknown,2.677,track,unknown,grade4,FS 5031,195
Mountains-to-Sea Trail,588790637,Unknown,2.674,path,ground,mountain_hiking,,361
Bald Knob Ridge Trail,18939154,Unknown,2.658,path,unknown,unknown,TR 186,210
Davis Creek Trail,708825146,Unknown,2.652,path,ground,unknown,TR 19,182
Sarvis Cove Trail,653672635,Unknown,2.623,path,ground,unknown,TR 14,146
Trail 895754555,895754555,Unknown,2.622,track,unknown,grade3,FS 5508,223
Trail 723581454,723581454,Unknown,2.603,track,unknown,grade4,FS 3570,207
Flat Creek Trail,167432123,Unknown,2.6,path,ground,unknown,,218
West Fork Trail,210998523,Unknown,2.586,track,unknown,grade4,,201
M3 Loop,164856354,Unknown,2.58,path,ground,unknown,,409
Trail 363346980,363346980,Unknown,2.574,path,unpaved,unknown,,226
Big Creek,112927479,Unknown,2.571,path,ground,unknown,102,141
Long Branch Trail,152918879,Unknown,2.571,path,ground,unknown,116,170
Sheep Rock,363234521,Unknown,2.57,path,dirt,unknown,,187
Devils Kitchen Spur Road,991745197,Greene,2.565,track,unknown,grade2,FS 93E,187
Maxwell Cove,313768210,Unknown,2.562,track,unknown,unknown,FS 5049,229
Mountains-to-Sea Trail,98261141,Unknown,2.558,path,ground,mountain_hiking,,417
Pilot Mountain Road,152918971,Unknown,2.552,track,unknown,unknown,FS 229,240
Paint Mountain Trail,611634266,Unknown,2.546,path,ground,unknown,TR 7,263
Bruce Knob Road,277645058,Unknown,2.541,track,unknown,grade4,FS 5030,215
Marrow Gap Road,736348111,Unknown,2.541,track,unknown,unknown,FS 22423,174
Trail 957395723,957395723,Unknown,2.528,track,unknown,grade5,,163
Van Cliff Loop,699121644,Unknown,2.521,path,unknown,unknown,TR 313,364
Brush Creek Road,19438927,Cocke,2.491,track,unknown,grade2,FS 209,123
Brown Creek,16653362,Macon,2.489,track,unpaved,unknown,7072,247
Wolf Branch Road,275515912,Unknown,2.473,track,unknown,grade4,FS 86G,248
Trombatore Trail,854676961,Unknown,2.457,footway,ground,unknown,,503
Lower Sidehill Trail,99872859,Unknown,2.452,path,ground,hiking,FS 137A,93
Green Knob Trail,146253829,Unknown,2.446,path,ground,mountain_hiking,TR 182,254
Green Ridge Trail,653667175,Unknown,2.438,path,ground,unknown,TR 287,165
Pink Beds Loop Trail,453518939,Unknown,2.431,path,ground,unknown,,166
Turkey Pen Gap Trail,1181917844,Unknown,2.424,path,ground,unknown,322,191
Strawberry Gap Trail,1109182628,Unknown,2.423,path,unknown,unknown,,216
Parris Creek Trail,16646059,McDowell,2.419,track,unknown,unknown,,203
Little Hickory Top,114869551,Unknown,2.417,path,ground,hiking,FS 136,186
Trail 491622003,491622003,Unknown,2.391,track,unknown,unknown,,117
Trail 199226502,199226502,Unknown,2.39,track,unknown,grade3,,218
Flint Creek Trail,655109499,Unknown,2.385,path,unknown,unknown,,205
Rich Mountain Road,1147066312,Unknown,2.379,track,unknown,grade4,NFSR 190,169
Star Gap,278087887,Unknown,2.374,path,unknown,unknown,,225
Art Loeb Trail,403379242,Unknown,2.363,path,ground,unknown,,159
Butter Gap Trail,172819700,Unknown,2.36,path,ground,unknown,123,171
Hickey Fork Trail,653662020,Unknown,2.359,path,ground,unknown,TR 292,125
Old Timer,1231755709,Unknown,2.353,path,unknown,unknown,,160
Stoney Fork Road,16438375,Unknown,2.344,track,gravel,grade2,FS 63A,201
Ecusta Trail,1330808750,Unknown,2.337,cycleway,paved,unknown,,98
Trail 453516549,453516549,Unknown,2.335,track,ground,grade5,FS 5019,216
Trail 19430700,19430700,Cocke,2.331,track,unknown,grade4,FS 225201,145
Trail 1189691765,1189691765,Unknown,2.33,path,gravel,unknown,,230
Trail 1212899405,1212899405,Unknown,2.329,track,unknown,unknown,,78
Jack Branch Trail,666361562,Unknown,2.316,path,unknown,unknown,TR 299,136
Meadow Creek Road,19435227,Cocke,2.302,track,gravel,unknown,FS 142,142
Little Paint Creek Trail,895263130,Unknown,2.294,path,ground,unknown,TR 11,130
Lower Heartbreak Ridge,1285273478,Unknown,2.293,path,dirt,unknown,,439
Copper Ridge Trail,1179828243,Unknown,2.292,path,dirt,unknown,,660
Trail 16588360,16588360,Haywood,2.289,track,unknown,unknown,,78
Pilot Rock Trail,84491740,Unknown,2.28,path,ground,unknown,321,260
Poplar Spring Road,764575467,Unknown,2.279,track,unknown,grade4,FS 22421,198
Mount Sterling Trail,167432896,Unknown,2.269,path,ground,unknown,,92
Appalachian Trail,115004765,Unknown,2.263,path,ground,unknown,TR 1-08,259
Pink Beds Loop Trail,112927464,Unknown,2.255,path,ground,unknown,,151
Bradley Shack Road,775406187,Unknown,2.249,track,unknown,grade4,FS 22502,230
Cove Creek Trail,152918962,Unknown,2.247,path,ground,unknown,340,172
Mountains-to-Sea Trail,167486307,Unknown,2.246,path,unknown,mountain_hiking,,215
Road Prong Trail,167434042,Unknown,2.244,path,ground,unknown,,141
Big Creek Trail,431473126,Unknown,2.239,track,ground,unknown,,99
Trail 740855425,740855425,Unknown,2.235,track,unknown,grade4,,227
Jack Branch Road,498703630,Unknown,2.221,track,unknown,grade2,FS 468A,346
Gunter Fork Trail,167432228,Unknown,2.216,path,unknown,unknown,,109
Mountains-to-Sea Trail,98261171,Unknown,2.213,path,unknown,mountain_hiking,,102
Haywood Gap Trail,616960234,Unknown,2.211,path,ground,mountain_hiking,,218
Newberry Creek Trail,410475881,Unknown,2.205,path,ground,mountain_hiking,TR 210,143
Doe Branch,734299259,Unknown,2.203,track,unknown,grade4,FS 3548,239
Trail 991537222,991537222,Unknown,2.2,track,unknown,grade4,FS 3214,172
Indian Creek Trail,167432347,Unknown,2.192,track,ground,unknown,,73
Redman Road,16594913,Haywood,2.191,track,unknown,unknown,FS 286,96
Avery Creek,152732182,Unknown,2.188,path,ground,unknown,327,157
Mountains-to-Sea Trail,587054166,Unknown,2.178,path,ground,mountain_hiking,,525
Snowball Trail,181374344,Unknown,2.172,path,unknown,unknown,TR 170,209
Catheys Creek Road,16786659,Unknown,2.169,track,gravel,grade2,FS 471,191
Trail 461225357,461225357,Unknown,2.167,path,unknown,unknown,,116
Appalachian Trail,30667991,Unknown,2.163,path,unknown,unknown,,203
Vinyard Gap,152672982,Unknown,2.163,path,ground,unknown,324,144
Trail 16655100,16655100,Madison,2.162,track,gravel,grade2,FS 275,188
Hickey Fork Trail,673004374,Unknown,2.158,path,unknown,unknown,TR 292,99
Catawba Falls Ridge Trail,1305574249,Unknown,2.155,path,unpaved,unknown,,403
Locust Gap Trail,1160915111,Unknown,2.151,track,ground,unknown,,254
Barnett Branch Trail,424738951,Unknown,2.145,path,ground,unknown,618,172
West Ridge Trail,430789107,Unknown,2.133,path,ground,demanding_mountain_hiking,,122
Trail 945136761,945136761,Unknown,2.132,track,unknown,grade3,,277
White Oak Flats Trail,653661358,Unknown,2.13,path,ground,unknown,TR 293,104
Burnt Mountain Trail,162987176,Unknown,2.129,track,unknown,unknown,,153
Trail 467870324,467870324,Unknown,2.122,path,unknown,unknown,,170
Pilot Cove Loop,112927509,Unknown,2.114,path,ground,unknown,320a,162
Black Mountain Crest Trail,146253795,Unknown,2.114,track,unknown,unknown,,235
Deep Gap Trail,18937690,Unknown,2.111,path,ground,demanding_mountain_hiking,,364
Boomer Den Road,19438561,Cocke,2.103,track,unknown,unknown,,125
Thrift Cove Trail,266745335,Unknown,2.102,track,unknown,grade3,FS 5061;TR 603,252
Powerline Road,148726492,Unknown,2.099,track,unknown,unknown,TR 451,188
Graybeard Trail,224378846,Unknown,2.097,path,ground,hiking,,330
Bear Paw Ridge Road,16621004,Henderson,2.093,track,unknown,grade1,,148
Trail Fork Road,764575468,Unknown,2.084,track,unknown,grade4,FS 3249,117
North Mills River Trail,112927507,Unknown,2.082,path,ground,unknown,,190
Catpen Road,666380158,Unknown,2.081,track,unknown,grade4,FS 3505,142
Thompson Creek,112927490,Unknown,2.079,path,ground,unknown,662,114
Wilson Boundary Road,274851180,Yancey,2.062,track,ground,grade4,,328
Trail 757743647,757743647,Unknown,2.054,track,unknown,grade4,,184
Trail 587942391,587942391,Unknown,2.053,path,unknown,unknown,,68
Big Clifty Road,636162608,Unknown,2.04,track,gravel,grade2,FS 404,150
Chestnut Branch Trail,167431826,Unknown,2.038,path,ground,unknown,,78
Right Prong Road,976235973,Unknown,2.032,path,ground,unknown,,155
Buzzard Road,16622599,Unknown,2.026,track,unknown,unknown,FS 4671,162
Shelton Trail,542993963,Unknown,2.017,path,unknown,unknown,,227
Greens Lick Trail,114869515,Unknown,2.016,path,ground,hiking,FS 139,122
Engine Creek Trail,1287753484,Unknown,2.015,path,unknown,unknown,,129
Trail 16423941,16423941,Buncombe,2.014,path,unknown,unknown,,239
Trail 478429530,478429530,Unknown,2.012,footway,unknown,unknown,,87
Trail 16620720,16620720,Unknown,2.011,track,unknown,grade4,,150
Shut-In Trail,740400051,Unknown,2.009,path,unknown,unknown,TR 296,170
Stoney Fork Road,279671519,Unknown,2.004,track,gravel,grade2,FS 63,257
Chimney Rocks Trail,611634253,Unknown,2.003,path,ground,unknown,TR 154,122
Big Creek,202430384,Unknown,1.999,path,ground,unknown,102,153
Bellcow Mountain Road,991585658,Unknown,1.999,track,unknown,grade4,FS 422B,158
Big Hurricane Creek Road,395477396,Unknown,1.998,track,unpaved,grade4,FS 3578,192
Carolina Loop,1217896823,Unknown,1.995,footway,ground,unknown,,197
Trail 16619179,16619179,Jackson,1.992,track,ground,unknown,FS 4644,59
Fork Ridge Trail,653666203,Unknown,1.991,path,ground,unknown,TR 285,123
Cove Creek Road,497201396,Unknown,1.988,track,ground,grade4,FS 225,153
Huskey Gap Trail,167432336,Unknown,1.987,path,ground,unknown,,97
Squirrel Gap Trail,888680316,Unknown,1.984,path,unknown,unknown,TR 311,132
Hendersonville Reservoir,16598126,Henderson,1.979,track,unknown,unknown,,151
Trail 893555124,893555124,Unknown,1.979,track,unknown,grade3,FS 3210,200
Appalachian Trail,543420931,Unknown,1.975,path,ground,unknown,TR 1-08,252
Appalachian Trail,30671405,Unknown,1.97,path,ground,unknown,TR 1-08,313
Forest Service Road 288,718221060,Haywood,1.97,track,unknown,grade2,FS 288,146
Trail 16623611,16623611,Jackson,1.969,track,unknown,grade4,FS 4658,80
Cowee Bald Road,16776938,Unknown,1.968,track,gravel,grade2,FS 70,148
Black Mountain Trail,503074050,Unknown,1.961,path,ground,unknown,127,136
Trail 16598797,16598797,Henderson,1.955,track,unknown,unknown,,68
Hunter Creek Road,773904103,Unknown,1.952,track,unknown,grade4,FS 22441,153
Cowee Bald Road,16657888,Unknown,1.943,track,unknown,grade2,FS 70,227
Trail 1160071680,1160071680,Unknown,1.942,track,ground,unknown,,231
Rock Quarry Road,16787836,Transylvania,1.941,track,gravel,unknown,,65
National Park Trail,16784636,Transylvania,1.94,track,unknown,unknown,,145
Forney Creek Trail,167432152,Unknown,1.934,path,unknown,unknown,,68
Groundhog Creek Trail,757703509,Unknown,1.934,path,unknown,unknown,TR 315,152
Lanning Ridge Road,267289204,Unknown,1.933,track,gravel,grade2,FS 5046,122
Graveyard Ridge Trail,453604223,Unknown,1.932,track,unpaved,mountain_hiking,GRT,122
Trail 488784136,488784136,Unknown,1.932,path,unknown,unknown,,145
Appalachian Trail,395188925,Unknown,1.931,path,ground,unknown,TR 1-08,312
Turkey Pen Cove Trail,977072720,Unknown,1.929,path,ground,unknown,TR 15,104
Deep Creek Trail,981371506,Unknown,1.929,path,ground,unknown,,91
Hard Times Road,271771479,Unknown,1.924,track,gravel,grade2,FS 480,187
Trail 549989926,549989926,Unknown,1.923,footway,unknown,unknown,,229
Artie Hollow Trail,708825142,Unknown,1.923,path,ground,unknown,TR 18,156
Summey Cove Trail,319945121,Unknown,1.917,path,ground,demanding_mountain_hiking,,83
Trail 16586999,16586999,Unknown,1.912,track,unknown,unknown,,154
Trail 990937751,990937751,Unknown,1.907,track,unknown,unknown,FS 189A,130
Trail 267283639,267283639,Unknown,1.906,track,unpaved,grade3,FS 475C,212
Trail 478429538,478429538,Unknown,1.895,track,unknown,unknown,,122
475B,313768902,Unknown,1.894,track,gravel,grade2,FS 475B,225
Higgins Creek Trail,1146843505,Unknown,1.889,path,unknown,unknown,,129
