trail_name,osm_id,access,motor_vehicle,foot,bicycle,horse,highway,surface,tracktype,ref,tiger:county,sac_scale,has_private_access,has_private_motor_vehicle,has_any_restriction,access_category
Trail 1125908793,1125908793,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908809,1125908809,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908810,1125908810,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908811,1125908811,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908812,1125908812,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908813,1125908813,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908819,1125908819,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908820,1125908820,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1125908825,1125908825,private,,,,,path,paved,,,,,True,False,True,PRIVATE
Trail 1132198659,1132198659,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1136036189,1136036189,private,,,,,track,,grade4,,,,True,False,True,PRIVATE
Trail 1138195214,1138195214,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1151048638,1151048638,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1151375620,1151375620,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Private property,1157668387,private,,,,,path,,,,,,True,False,True,PRIVATE
Private property,1157668388,private,,,,,path,dirt,,,,,True,False,True,PRIVATE
Trail 1157668389,1157668389,private,,private,,,path,dirt,,,,,True,False,True,PRIVATE
Trail 1158262590,1158262590,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1158814089,1158814089,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1158997013,1158997013,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1160767663,1160767663,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1160767686,1160767686,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1161225741,1161225741,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1180512418,1180512418,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1180512421,1180512421,private,,,,,track,ground,grade5,,,,True,False,True,PRIVATE
Trail 1180512424,1180512424,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1180534875,1180534875,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1181908543,1181908543,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 1181908544,1181908544,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 1181908545,1181908545,private,,,,,path,,,,,,True,False,True,PRIVATE
Wagon Road Gap,1181917845,private,,,,,path,ground,,134,,,True,False,True,PRIVATE
Trail 1182374608,1182374608,private,,,,,path,ground,,,,,True,False,True,PRIVATE
Trail 1182374613,1182374613,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1182374617,1182374617,private,,,,,path,ground,,,,,True,False,True,PRIVATE
Trail 1182374618,1182374618,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1182374619,1182374619,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1182374620,1182374620,private,,,,,path,ground,,,,,True,False,True,PRIVATE
Trail 1182374621,1182374621,private,,,,,path,ground,,,,,True,False,True,PRIVATE
Trail 1182374622,1182374622,private,,,,,path,ground,,,,,True,False,True,PRIVATE
Big Tom Wilson Toll Road,1182665671,private,,,,,track,,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Big Tom Wilson Toll Road,1182665672,private,,,,,track,,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Trail 1201549056,1201549056,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1201549063,1201549063,private,,,,,track,,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 1202221185,1202221185,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1202221186,1202221186,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1202221187,1202221187,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1202221188,1202221188,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1202221192,1202221192,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1234275114,1234275114,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1236902031,1236902031,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1236902032,1236902032,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1236902033,1236902033,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1236902034,1236902034,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1236902035,1236902035,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1237883612,1237883612,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1240048790,1240048790,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1240048791,1240048791,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1241711574,1241711574,private,,,,,track,ground,grade3,,,,True,False,True,PRIVATE
Trail 1241711578,1241711578,private,,,,,track,ground,grade3,,,,True,False,True,PRIVATE
Trail 1242337102,1242337102,private,,,,,track,gravel,grade2,,,,True,False,True,PRIVATE
Trail 1242337106,1242337106,private,,,,,track,gravel,grade2,,,,True,False,True,PRIVATE
Trail 1242337107,1242337107,private,,,,,track,gravel,grade2,,,,True,False,True,PRIVATE
Trail 1264544041,1264544041,permissive,private,,,,track,gravel,grade2,,,,False,True,True,NO_MOTOR_VEHICLE
Trail 1286627365,1286627365,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1286627381,1286627381,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1286980231,1286980231,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1287231138,1287231138,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1287231139,1287231139,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1287231140,1287231140,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Trail 1287231153,1287231153,private,,,,,track,ground,,,,,True,False,True,PRIVATE
Green RIver Trail,1301673146,private,,yes,yes,yes,footway,,,,,,True,False,True,PRIVATE
Trail 1302619994,1302619994,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 1310964489,1310964489,private,,,,,track,,grade3,,,,True,False,True,PRIVATE
Trail 1317541537,1317541537,private,,,,,track,,,,,,True,False,True,PRIVATE
Blossoming Tree Lane,1318326184,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 1319860354,1319860354,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 1322307425,1322307425,private,,,,,path,,,,,,True,False,True,PRIVATE
Private Trial,1326500481,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1326500482,1326500482,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1350302018,1350302018,private,,designated,,,path,cobblestone,,,,,True,False,True,PRIVATE
Trail 1350302019,1350302019,private,,,,,path,asphalt,,,,,True,False,True,PRIVATE
Trail 1350828299,1350828299,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828300,1350828300,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828301,1350828301,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828302,1350828302,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828303,1350828303,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828304,1350828304,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828305,1350828305,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828306,1350828306,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828307,1350828307,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828308,1350828308,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828309,1350828309,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828310,1350828310,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1350828311,1350828311,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1354060140,1354060140,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 1356046410,1356046410,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1356046412,1356046412,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1356046415,1356046415,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1356046416,1356046416,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 1385473790,1385473790,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1385473791,1385473791,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1385473792,1385473792,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1385473793,1385473793,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Hog Rock Road,1392141822,private,,,,,track,unpaved,,,"Henderson, NC",,True,False,True,PRIVATE
Hog Rock Road,1392141823,private,,,,,track,unpaved,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 1413418816,1413418816,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1413418817,1413418817,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1413418818,1413418818,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Trail 1434563173,1434563173,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
Trail 1434826559,1434826559,private,,,,,footway,dirt,,,,,True,False,True,PRIVATE
